KIS	Stock	Name	fy	ni2016q1	ni2016q2	ni2017q1	ni2017q2	ni2018q1	ni2018q2	ni2019q1	ni2019q2	ni2020q1	ni2020q2	dy20161031	dy20171031	dy20181031	dy20191031	dy20201030
001402	036460	한국가스공사	12	5.94463E+11	4.63514E+11	7.68496E+11	4.24456E+11	7.68157E+11	5.02743E+11	4.7937E+11	4.93184E+11	4.66641E+11	-93643999000	0.35			3.29	1.32
001471	033780	(주)케이티앤지	12	2.53769E+11	5.30016E+11	2.53159E+11	5.16601E+11	2.56931E+11	5.09549E+11	2.1408E+11	5.00253E+11	2.60758E+11	5.35609E+11	2.76	3.12	3.62	3.68	5.01
004372	044820	코스맥스비티아이(주)	12	1736279000	3284389000	2169333000	2684353000	524224000	1675379000	3014070000	3310496000	3278529000	4762330000	0.32	0.54	0.52	0.96	1.5
005398	023810	(주)인팩	12	3298188000	4860386000	1475282000	2736073000	1228665000	2208300000	2120419000	2697308000	3344192000	3589550000	2.11	3.12	3.94	3.45	
006394	025530	(주)에스제이엠홀딩스	12	2785954000	3845415000	-16322000	14202874000	684808000	2483363000	1457079000	2678045000	2607391000	2210665000	3.39	3.86	5.56	4.37	5.52
009288	028100	(주)동아지질	12	1686268000	4289472000	4803551000	7355021000	4510630000	10895477000	6072648000	10082373000	1699810000	2266350000	2.08	1.51	1.49	0.98	1.36
015997	031820	(주)콤텍시스템	12	172478000	-3474208000	-1301807000	324504000	-414625000	-308185000	-2479291000	-676640000	-3231001000	-1806486000					
019984	293480	하나제약(주)	12						11439098000	6743603000	13846764000	5562582000	10760288000				1.26	1.95
021987	039130	(주)하나투어	12	8903770000	9628385000	14423813000	1511341000	15215411000	14334111000	14031722000	14366748000	-30060736000	-40694307000	1.18	0.76	1.28	1.18	0.98
024489	027410	(주)비지에프	12	28374558000	74776721000	33279652000	87680227000	2919865000	4883388000	16104800000	17068128000	28892198000	32327673000	0.69	1.01	2.69	0.61	2.74
024524	234080	제이더블유생명과학(주)	12		7831341000	4381693000	8423542000	2865794000	5819264000	5789692000	11465569000	6878858000	14610662000		1.64	2.27	2.49	2.79
038869	077500	유니퀘스트(주)	12	3680467000	4333514000	3798799000	5539676000	1188665000	3596015000	2052071000	4181188000	4581395000	7313554000	4	1.11	1.36	1.43	1.46
039979	071950	(주)코아스	12	60117000	-2880968000	726712000	403857000	87724000	-609143000	687683000	1291521000	569555000	161880000					
040807	031440	(주)신세계푸드	12	1073292000	7653242000	3761060000	9987370000	7475724000	12072894000	1103602000	4260594000	-3842362000	-3669778000	0.35	0.45	0.83	1.05	1.45
